Store,Sub_store,Store_url,url,rpc,product_description,review_id,review_date,username,review_text,review_rating,variant_1,variant_2,job_id,brand
JD,雀巢母婴京东自营旗舰店,https://mall.jd.com/index-1000003112.html,https://item.jd.com/1080961.html,1080961,雀巢（nestle）能恩 蜂蜜口味儿童配方奶粉 4段（3岁以上儿童适用）400克(新老包装随机发货),11121390236,2018-01-01 00:14:46,j***c,很好,5.0,4段400g,,62595828,NAN
JD,雀巢母婴京东自营旗舰店,https://mall.jd.com/index-1000003112.html,https://item.jd.com/1080961.html,1080961,雀巢（nestle）能恩 蜂蜜口味儿童配方奶粉 4段（3岁以上儿童适用）400克(新老包装随机发货),11121390663,2018-01-01 00:15:35,j***c,不错,5.0,4段400g,,62595828,NAN
JD,雀巢母婴京东自营旗舰店,https://mall.jd.com/index-1000003112.html,https://item.jd.com/1080961.html,1080961,雀巢（nestle）能恩 蜂蜜口味儿童配方奶粉 4段（3岁以上儿童适用）400克(新老包装随机发货),11121920959,2018-01-01 10:54:58,W***6,送货快送货快送货快送货快，经常打对折这活动！平时价格比超市都贵很多，一定要等优惠再买。不然差价很多。东西品质时好时坏，就这样。,5.0,4段400g,,62595828,NAN
JD,雀巢母婴京东自营旗舰店,https://mall.jd.com/index-1000003112.html,https://item.jd.com/1080961.html,1080961,雀巢（nestle）能恩 蜂蜜口味儿童配方奶粉 4段（3岁以上儿童适用）400克(新老包装随机发货),11122269231,2018-01-01 13:21:09,秀***l,好东西啊，物美价廉呦呦呦呦好,5.0,4段400g,,62595828,NAN
JD,雀巢母婴京东自营旗舰店,https://mall.jd.com/index-1000003112.html,https://item.jd.com/1080961.html,1080961,雀巢（nestle）能恩 蜂蜜口味儿童配方奶粉 4段（3岁以上儿童适用）400克(新老包装随机发货),11122315969,2018-01-01 13:41:34,j***i,第三次买这家的奶粉了，孩子很喜欢喝,5.0,4段400g,,62595828,NAN
JD,雀巢母婴京东自营旗舰店,https://mall.jd.com/index-1000003112.html,https://item.jd.com/1080961.html,1080961,雀巢（nestle）能恩 蜂蜜口味儿童配方奶粉 4段（3岁以上儿童适用）400克(新老包装随机发货),11122408913,2018-01-01 14:22:03,祥***东,京东就是多快好省，京东就是物美价廉，京东购物就是666京东棒棒的,5.0,4段400g,,62595828,NAN
JD,雀巢母婴京东自营旗舰店,https://mall.jd.com/index-1000003112.html,https://item.jd.com/1080961.html,1080961,雀巢（nestle）能恩 蜂蜜口味儿童配方奶粉 4段（3岁以上儿童适用）400克(新老包装随机发货),11122740570,2018-01-01 16:41:31,j***7,第一次买，感觉闻起比较香甜，宝贝很喜欢这个味道，价格就是起伏比较大,5.0,4段400g,,62595828,NAN
JD,雀巢母婴京东自营旗舰店,https://mall.jd.com/index-1000003112.html,https://item.jd.com/1080961.html,1080961,雀巢（nestle）能恩 蜂蜜口味儿童配方奶粉 4段（3岁以上儿童适用）400克(新老包装随机发货),11123057726,2018-01-01 18:50:51,j***d,实惠。。,5.0,4段400g,,62595828,NAN
JD,雀巢母婴京东自营旗舰店,https://mall.jd.com/index-1000003112.html,https://item.jd.com/1080961.html,1080961,雀巢（nestle）能恩 蜂蜜口味儿童配方奶粉 4段（3岁以上儿童适用）400克(新老包装随机发货),11123110261,2018-01-01 19:12:21,z***6,帮别人买的，她非常满意的！,5.0,4段400g,,62595828,NAN
JD,雀巢母婴京东自营旗舰店,https://mall.jd.com/index-1000003112.html,https://item.jd.com/1080961.html,1080961,雀巢（nestle）能恩 蜂蜜口味儿童配方奶粉 4段（3岁以上儿童适用）400克(新老包装随机发货),11123602896,2018-01-01 22:11:28,l***1,第N 次购买京东奶粉了，值得信赖！,5.0,4段400g,,62595828,NAN
JD,雀巢母婴京东自营旗舰店,https://mall.jd.com/index-1000003112.html,https://item.jd.com/1080961.html,1080961,雀巢（nestle）能恩 蜂蜜口味儿童配方奶粉 4段（3岁以上儿童适用）400克(新老包装随机发货),11123696012,2018-01-01 22:49:22,f***8,一直在吃，还不错。,5.0,4段400g,,62595828,NAN
