found_helpful,#comments,harvest_brand,harvest_product_description,publish_time,retailer_product_code,review_date,review_rating,review_text,review_title,top_reviewer_flag,upc,url,verified_purchase,vine_voice,manufacturer_response,manufacturer_response_text,parent_review,syndicated_from,direct_review_url,purchase_time,user_level,variants,review_id,user_id,review_image,source_path
,"","","Gerber嘉宝米粉 1段 钙铁锌+胡萝卜 两罐组合225g/罐","","564104944588","2018-03-21T00:32:20","","(●°u°●)??」","",,"","https://chaoshi.detail.tmall.com/item.htm?id=564104944588",,,,,,,,,,"","343528905335","小***瑜","","/storage_server/ArchiveData/review_details/daily/CN/2018/04/04/RR.Tmall.cn/HTML/347"
,"","Nestle/雀巢","嘉宝Gerber混合蔬菜 燕麦 原味钙铁锌营养米粉米糊组合四口味","","559308160657","2018-03-17T15:21:05","","167到手，划算，比实体店便宜，嘉宝是雀巢公司的，","",,"","https://detail.tmall.com/item.htm?id=559308160657",,,,,,,,,,"","343073056499","美***a","//img.alicdn.com/bao/uploaded/i2/0/TB241qga5CYBuNkHFCcXXcHtVXa_!!0-rate.jpg","/storage_server/ArchiveData/review_details/daily/CN/2018/04/04/RR.Tmall.cn/HTML/203"
,"","Nestle/雀巢","雀巢Nestle超级能恩3段800g婴儿幼儿配方牛奶粉宝宝德国原装进口","","564878985450","2018-03-20T00:00:47","","17年9月的，新包装新日期","",,"","https://detail.tmall.com/item.htm?id=564878985450",,,,,,,,,,"","343409138794","y***7","","/storage_server/ArchiveData/review_details/daily/CN/2018/04/04/RR.Tmall.cn/HTML/264"
,"","","Nestle/雀巢 超级能恩2段婴儿配方进口奶粉 800g/罐","","557257361633","2018-03-28T15:18:55","","17年的奶粉……","",,"","https://chaoshi.detail.tmall.com/item.htm?id=557257361633",,,,,,,,,,"","344398764198","t***4","","/storage_server/ArchiveData/review_details/daily/CN/2018/04/04/RR.Tmall.cn/HTML/313"
,"亲，天猫旗舰店的产品均是官方直营，确保正品。宝宝每天都在长身体的，奶量和胃口肯定也会慢慢增加，您见谅，因为正好赶上春节期间快递停运没有发货，年后快递恢复后我们就立即安排发出了哦，让您久等了，您消消气，希望迟来的宝贝能够让您的心情有所缓解，期待您的再次光临。","Nestle/雀巢","【雀巢官方】雀巢能恩3 幼儿配方奶粉 3段（12-36个月）400克*4","","23477636937","2018-03-17T09:41:55","","1月29号买的，2月22号才发货，说好的二十天发货呢？这么大个旗舰店数学没学好。奶粉肉眼看不出好坏，但儿子以前喝线下的同款奶粉，一觉睡到八点，现在六点多就醒了找奶喝.活动做不起不要做，不要以次充好。还有6盒，希望店家的奶粉只是质量差点，不要加什么三聚氰安之类的。花了钱了，我也不希望扔掉。.","",,"","https://detail.tmall.com/item.htm?id=23477636937",,,,,,,,,,"","343074775359","我***嗯","","/storage_server/ArchiveData/review_details/daily/CN/2018/04/04/RR.Tmall.cn/HTML/168"
,"奶粉当中充满了氮气，只要奶粉不开罐的情况下没有受到空气的氧化奶粉当中的营养是不会流失的，所以不同生产日期奶粉的新鲜度差别是不大的，如果奶粉开罐后我们都建议要在4周内喝完即可，您不需要有任何担心的哦。","Nestle/雀巢","【雀巢官方】雀巢Nestle超级能恩3 幼儿配方奶粉 3段 800g*4","","36984529022","2018-03-26T14:42:42","","2017.09 日期一般，老版本","",,"","https://detail.tmall.com/item.htm?id=36984529022",,,,,,,,,,"","344080841723","c***g","","/storage_server/ArchiveData/review_details/daily/CN/2018/04/04/RR.Tmall.cn/HTML/187"
,"","Nestle/雀巢","雀巢Nestle能恩1段400g婴儿幼儿配方牛奶粉宝宝奶粉（0-6个月）","","549940276744","2018-03-19T02:28:25","","20年以前孩子用这个牌子！现在又有了宝贝依然爱你！","",,"","https://detail.tmall.com/item.htm?id=549940276744",,,,,,,,,,"","343259990497","飞***6","","/storage_server/ArchiveData/review_details/daily/CN/2018/04/04/RR.Tmall.cn/HTML/271"
,"","Nestle/雀巢","嘉宝Gerber混合蔬菜*1+番茄牛肉*2营养米粉225g罐3段适合8-36个月","","544372646926","2018-03-29T17:43:09","","3 15便宜实惠 买还是活动买吧","",,"","https://detail.tmall.com/item.htm?id=544372646926",,,,,,,,,,"","344524018788","范***8","//img.alicdn.com/bao/uploaded/i3/0/TB2pB5mhbGYBuNjy0FoXXciBFXa_!!0-rate.jpg","/storage_server/ArchiveData/review_details/daily/CN/2018/04/04/RR.Tmall.cn/HTML/194"
,"","Nestle/雀巢","雀巢Nestle能恩3段1200g婴儿幼儿配方牛奶粉宝宝奶粉三联装","","549985973065","2018-03-25T11:59:02","","3.18买的，孩子现在喝奶喝的少了，就买的袋装，这样不容易坏，感觉颗粒偏大，还可以0","",,"","https://detail.tmall.com/item.htm?id=549985973065",,,,,,,,,,"","343936832990","c***n","","/storage_server/ArchiveData/review_details/daily/CN/2018/04/04/RR.Tmall.cn/HTML/269"
,"","Gerber/嘉宝","Gerber嘉宝2段菠菜+豌豆+燕麦西梅营养米粉米糊 婴儿宝宝辅食罐装","","564994852144","2018-03-19T06:24:09","","6个月了，终于可以吃其他味道得了","",,"","https://detail.tmall.com/item.htm?id=564994852144",,,,,,,,,,"","343309330775","邵***凤","","/storage_server/ArchiveData/review_details/daily/CN/2018/04/04/RR.Tmall.cn/HTML/252"
,"","","Gerber嘉宝米粉1段营养米粉 225g 婴幼儿宝宝辅食","","14023444768","2018-03-30T21:56:39","","fe 我來我我我我我我我我我来我我我我我我我我我来我我我我我我我我我来我我我我我我我我我来我我我我我我我我 我來我我我我我我我我我来我我我我我我我我我来我我我我我我我我我来我我我我我我我我我来我我我我我我我我","",,"","https://chaoshi.detail.tmall.com/item.htm?id=14023444768",,,,,,,,,,"","344586690656","苹***丶","","/storage_server/ArchiveData/review_details/daily/CN/2018/04/04/RR.Tmall.cn/HTML/331"
,"","Gerber/嘉宝","Gerber嘉宝米糊1段 婴儿胡萝卜营养米粉米糊宝宝辅食国产6-36个月","","563008974246","2018-03-23T00:59:39","","N次购买了，宝宝喜欢吃","",,"","https://detail.tmall.com/item.htm?id=563008974246",,,,,,,,,,"","343631553679","t***e","","/storage_server/ArchiveData/review_details/daily/CN/2018/04/04/RR.Tmall.cn/HTML/234"
