store,sub_store,url,rpc,title,review_id,creation_date,username,review_text,review_rating,variant_1,variant_2,device,job_id,download_time
JD,,http://item.jd.com/4396232.html,4396232,雀巢（nestle）超级能恩 婴儿配方奶粉 1段（0-12个月适用）800克（德国原装进口）（新老包装随机发货）,11173374350,2018-01-19 23:52:01,饵根,宝宝刚出生，大夫建议吃这个，以前的还没有吃完，等吃追加评价,4,新升级1段,,,56275168,2018-01-22 14:39:56
JD,,http://item.jd.com/4396232.html,4396232,雀巢（nestle）超级能恩 婴儿配方奶粉 1段（0-12个月适用）800克（德国原装进口）（新老包装随机发货）,11173290544,2018-01-19 23:03:36,哎-Ya,不错很好，下次继续购买！推荐购买！不错很好，下次继续购买！,5,新升级1段,,,56275168,2018-01-22 14:39:56
JD,,http://item.jd.com/4396232.html,4396232,雀巢（nestle）超级能恩 婴儿配方奶粉 1段（0-12个月适用）800克（德国原装进口）（新老包装随机发货）,11173247015,2018-01-19 22:43:47,想***字,吃了好几次，挺好！,5,新升级1段,,,56275168,2018-01-22 14:39:56
JD,,http://item.jd.com/4396232.html,4396232,雀巢（nestle）超级能恩 婴儿配方奶粉 1段（0-12个月适用）800克（德国原装进口）（新老包装随机发货）,11173229474,2018-01-19 22:35:56,j***3,第一次买，京东送货就是快，喝完再买,5,新升级1段,,,56275168,2018-01-22 14:39:56
JD,,http://item.jd.com/4396232.html,4396232,雀巢（nestle）超级能恩 婴儿配方奶粉 1段（0-12个月适用）800克（德国原装进口）（新老包装随机发货）,11173021820,2018-01-19 21:18:32,N***A,很好,5,新升级1段,,,56275168,2018-01-22 14:39:56
JD,,http://item.jd.com/4396232.html,4396232,雀巢（nestle）超级能恩 婴儿配方奶粉 1段（0-12个月适用）800克（德国原装进口）（新老包装随机发货）,11173012491,2018-01-19 21:15:20,A***f,宝宝牛奶有点过敏哎，喝这个也是无奈，肯定不如普通奶粉好喝，宝宝好辛苦哎～,5,新升级1段,,,56275168,2018-01-22 14:39:56
JD,,http://item.jd.com/4396232.html,4396232,雀巢（nestle）超级能恩 婴儿配方奶粉 1段（0-12个月适用）800克（德国原装进口）（新老包装随机发货）,11172858400,2018-01-19 20:24:36,j***星,速度挺快的，我家宝宝刚好赶上吃哈哈?,5,新升级1段,,,56275168,2018-01-22 14:39:56
JD,,http://item.jd.com/4396232.html,4396232,雀巢（nestle）超级能恩 婴儿配方奶粉 1段（0-12个月适用）800克（德国原装进口）（新老包装随机发货）,11172835546,2018-01-19 20:17:14,m***2,不错，我们一直吃的是这个奶粉，很好,5,新升级1段,,,56275168,2018-01-22 14:39:56
JD,,http://item.jd.com/4396232.html,4396232,雀巢（nestle）超级能恩 婴儿配方奶粉 1段（0-12个月适用）800克（德国原装进口）（新老包装随机发货）,11172749906,2018-01-19 19:46:58,会***鼠,应该是正品，价格比超市便宜，送货也很方便,5,新升级1段,,,56275168,2018-01-22 14:39:56
JD,,http://item.jd.com/4396232.html,4396232,雀巢（nestle）超级能恩 婴儿配方奶粉 1段（0-12个月适用）800克（德国原装进口）（新老包装随机发货）,11172747284,2018-01-19 19:45:50,会***鼠,应该是正品，价格比超市便宜，送货也很方便,5,新升级1段,,,56275168,2018-01-22 14:39:56
JD,,http://item.jd.com/4396232.html,4396232,雀巢（nestle）超级能恩 婴儿配方奶粉 1段（0-12个月适用）800克（德国原装进口）（新老包装随机发货）,11172587437,2018-01-19 18:45:37,j***u,奶粉还是京东买，物流速度快，真品有保证,5,新升级1段,,,56275168,2018-01-22 14:39:56
JD,,http://item.jd.com/4396232.html,4396232,雀巢（nestle）超级能恩 婴儿配方奶粉 1段（0-12个月适用）800克（德国原装进口）（新老包装随机发货）,11172393352,2018-01-19 17:29:32,-***-,宝贝身体对牛奶不耐受，换成这个以后一直喝这个牌子的。,5,新升级1段,,,56275168,2018-01-22 14:39:56
JD,,http://item.jd.com/4396232.html,4396232,雀巢（nestle）超级能恩 婴儿配方奶粉 1段（0-12个月适用）800克（德国原装进口）（新老包装随机发货）,11172204282,2018-01-19 16:20:40,l***a,一直再喝，要经常备着，有时候断货，,5,新升级1段,,,56275168,2018-01-22 14:39:56
JD,,http://item.jd.com/4396232.html,4396232,雀巢（nestle）超级能恩 婴儿配方奶粉 1段（0-12个月适用）800克（德国原装进口）（新老包装随机发货）,11171882907,2018-01-19 14:22:13,d***3,听亲戚推荐的，宝宝吃了大便是绿色的，放屁也臭，不知道是不是都是这个样子,5,新升级1段,,,56275168,2018-01-22 14:39:56
JD,,http://item.jd.com/4396232.html,4396232,雀巢（nestle）超级能恩 婴儿配方奶粉 1段（0-12个月适用）800克（德国原装进口）（新老包装随机发货）,11171489785,2018-01-19 11:59:57,z***6,从宝宝出生一直喝这个，感觉还不错！,5,新升级1段,,,56275168,2018-01-22 14:39:56
JD,,http://item.jd.com/4396232.html,4396232,雀巢（nestle）超级能恩 婴儿配方奶粉 1段（0-12个月适用）800克（德国原装进口）（新老包装随机发货）,11171488331,2018-01-19 11:59:41,f***u,挺好，一直吃的这个！,5,新升级1段,,,56275168,2018-01-22 14:39:56
JD,,http://item.jd.com/4396232.html,4396232,雀巢（nestle）超级能恩 婴儿配方奶粉 1段（0-12个月适用）800克（德国原装进口）（新老包装随机发货）,11171427905,2018-01-19 11:38:40,z***q,一直在京东购买，速度快，东西放心，赞,5,新升级1段,,,56275168,2018-01-22 14:39:56
JD,,http://item.jd.com/4396232.html,4396232,雀巢（nestle）超级能恩 婴儿配方奶粉 1段（0-12个月适用）800克（德国原装进口）（新老包装随机发货）,11171427717,2018-01-19 11:38:17,z***q,一直在京东购买，速度快，东西放心，赞,5,新升级1段,,,56275168,2018-01-22 14:39:56
JD,,http://item.jd.com/4396232.html,4396232,雀巢（nestle）超级能恩 婴儿配方奶粉 1段（0-12个月适用）800克（德国原装进口）（新老包装随机发货）,11170957690,2018-01-19 09:01:19,j***x,物流很好，商品也很好，服务可以&hellip;&hellip;,5,新升级1段,,,56275168,2018-01-22 14:39:56
JD,,http://item.jd.com/4396232.html,4396232,雀巢（nestle）超级能恩 婴儿配方奶粉 1段（0-12个月适用）800克（德国原装进口）（新老包装随机发货）,11170765564,2018-01-19 06:29:46,茱***哈,物流很快，宝宝喜欢喝。,5,新升级1段,,,56275168,2018-01-22 14:39:56
JD,,http://item.jd.com/4396232.html,4396232,雀巢（nestle）超级能恩 婴儿配方奶粉 1段（0-12个月适用）800克（德国原装进口）（新老包装随机发货）,11170755710,2018-01-19 06:01:02,醉***0,货真价实，买的挺划算的，下次还买,5,新升级1段,,,56275168,2018-01-22 14:39:56
JD,,http://item.jd.com/4396232.html,4396232,雀巢（nestle）超级能恩 婴儿配方奶粉 1段（0-12个月适用）800克（德国原装进口）（新老包装随机发货）,11170699018,2018-01-19 01:29:16,j***q,很好哦，宝宝从出生到现在一直吃这个，老顾客了,5,新升级1段,,,56275168,2018-01-22 14:39:56
JD,,http://item.jd.com/4396232.html,4396232,雀巢（nestle）超级能恩 婴儿配方奶粉 1段（0-12个月适用）800克（德国原装进口）（新老包装随机发货）,11170421529,2018-01-18 22:14:33,开***0,好吃 不错呢 再继续迷上买 贵,5,新升级1段,,,56275168,2018-01-22 14:39:56
JD,,http://item.jd.com/4396232.html,4396232,雀巢（nestle）超级能恩 婴儿配方奶粉 1段（0-12个月适用）800克（德国原装进口）（新老包装随机发货）,11170239586,2018-01-18 21:11:22,j***t,一直喝的这个牌子，我家宝宝本身吸收不好，想换个牌子试试呢，还没换,5,新升级1段,,,56275168,2018-01-22 14:39:56
JD,,http://item.jd.com/4396232.html,4396232,雀巢（nestle）超级能恩 婴儿配方奶粉 1段（0-12个月适用）800克（德国原装进口）（新老包装随机发货）,11170106509,2018-01-18 20:30:33,j***2,可以，没毛病,5,新升级1段,,,56275168,2018-01-22 14:39:56
JD,,http://item.jd.com/4396232.html,4396232,雀巢（nestle）超级能恩 婴儿配方奶粉 1段（0-12个月适用）800克（德国原装进口）（新老包装随机发货）,11169918734,2018-01-18 19:27:44,二***哥,性价比不错，该有的功能都有，店家服务态度也不错,5,新升级1段,,,56275168,2018-01-22 14:39:56
JD,,http://item.jd.com/4396232.html,4396232,雀巢（nestle）超级能恩 婴儿配方奶粉 1段（0-12个月适用）800克（德国原装进口）（新老包装随机发货）,11169908773,2018-01-18 19:24:08,j***0,宝宝湿疹胃反流 换个适度水解的看看会不会有好转 雀巢的适度水解挺好的,5,新升级1段,,,56275168,2018-01-22 14:39:56
JD,,http://item.jd.com/4396232.html,4396232,雀巢（nestle）超级能恩 婴儿配方奶粉 1段（0-12个月适用）800克（德国原装进口）（新老包装随机发货）,11169772930,2018-01-18 18:33:58,w***e,物流速度很快，与实体店一样的,5,新升级1段,,,56275168,2018-01-22 14:39:56
JD,,http://item.jd.com/4396232.html,4396232,雀巢（nestle）超级能恩 婴儿配方奶粉 1段（0-12个月适用）800克（德国原装进口）（新老包装随机发货）,11169588353,2018-01-18 17:24:59,杨***1,刚收到货降价了，心情不美丽,5,新升级1段,,,56275168,2018-01-22 14:39:56
JD,,http://item.jd.com/4396232.html,4396232,雀巢（nestle）超级能恩 婴儿配方奶粉 1段（0-12个月适用）800克（德国原装进口）（新老包装随机发货）,11169584641,2018-01-18 17:23:51,杨***1,宝宝不是特别爱喝，但是长湿疹没办法,5,新升级1段,,,56275168,2018-01-22 14:39:56
JD,,http://item.jd.com/4396232.html,4396232,雀巢（nestle）超级能恩 婴儿配方奶粉 1段（0-12个月适用）800克（德国原装进口）（新老包装随机发货）,11169469573,2018-01-18 16:43:26,d***t,比超市母婴店都便宜，还送货到家，方便。以后就在京东买了。,5,新升级1段,,,56275168,2018-01-22 14:39:56
JD,,http://item.jd.com/4396232.html,4396232,雀巢（nestle）超级能恩 婴儿配方奶粉 1段（0-12个月适用）800克（德国原装进口）（新老包装随机发货）,11169405766,2018-01-18 16:21:08,Z***A,挺不错的，喜欢京东的物流,5,新升级1段,,,56275168,2018-01-22 14:39:56
JD,,http://item.jd.com/4396232.html,4396232,雀巢（nestle）超级能恩 婴儿配方奶粉 1段（0-12个月适用）800克（德国原装进口）（新老包装随机发货）,11169324290,2018-01-18 15:52:28,熊***货,从出生喝到现在八个多月了，不错的奶粉，一直京东购买,5,新升级1段,,,56275168,2018-01-22 14:39:56
JD,,http://item.jd.com/4396232.html,4396232,雀巢（nestle）超级能恩 婴儿配方奶粉 1段（0-12个月适用）800克（德国原装进口）（新老包装随机发货）,11169233114,2018-01-18 15:20:20,j***e,吃了这个宝宝不拉肚子了,5,新升级1段,,,56275168,2018-01-22 14:39:56
JD,,http://item.jd.com/4396232.html,4396232,雀巢（nestle）超级能恩 婴儿配方奶粉 1段（0-12个月适用）800克（德国原装进口）（新老包装随机发货）,11169019899,2018-01-18 14:06:12,b***4,跟实体店的东西一样  正品,5,新升级1段,,,56275168,2018-01-22 14:39:56
JD,,http://item.jd.com/4396232.html,4396232,雀巢（nestle）超级能恩 婴儿配方奶粉 1段（0-12个月适用）800克（德国原装进口）（新老包装随机发货）,11168933522,2018-01-18 13:35:26,j***2,刚刚打雀巢电话核实了是正品,5,新升级1段,,,56275168,2018-01-22 14:39:56
JD,,http://item.jd.com/4396232.html,4396232,雀巢（nestle）超级能恩 婴儿配方奶粉 1段（0-12个月适用）800克（德国原装进口）（新老包装随机发货）,11168734547,2018-01-18 12:25:28,g***i,我一直信认京东自营。,5,新升级1段,,,56275168,2018-01-22 14:39:56
JD,,http://item.jd.com/4396232.html,4396232,雀巢（nestle）超级能恩 婴儿配方奶粉 1段（0-12个月适用）800克（德国原装进口）（新老包装随机发货）,11168693176,2018-01-18 12:09:59,j***b,奶粉买贵了最近318，以前都是325买的。,5,新升级1段,,,56275168,2018-01-22 14:39:56
JD,,http://item.jd.com/4396232.html,4396232,雀巢（nestle）超级能恩 婴儿配方奶粉 1段（0-12个月适用）800克（德国原装进口）（新老包装随机发货）,11168546073,2018-01-18 11:20:21,舒***t,物流超级给力，奶粉水解工艺一级棒。,5,新升级1段,,,56275168,2018-01-22 14:39:56
