Store,Store_y,Sub_store,Store_url,product_description,Brand,rpc,review_id,username,review_rating,variant_1,variant_2,url,url_y,review_date,review_text
Suning,Suning,雀巢母婴自营旗舰店,https://shop.suning.com/30000198/index.html,自营 雀巢 (Nestle) 能恩3 幼儿配方奶粉 3段（12-36个月）900克,NAN,610800875,,,5,,,https://product.suning.com/0000000000/610800875.html,https://product.suning.com/0030000198/610800875.html,2018-02-21T09:42:38,宝宝吃了不上火，孩子的营养更均衡，雀巢奶粉大品牌值得信赖，宝贝健康成长
Suning,Suning,雀巢母婴自营旗舰店,https://shop.suning.com/30000198/index.html,自营 雀巢 (Nestle) 能恩3 幼儿配方奶粉 3段（12-36个月）900克,NAN,610800875,,,5,,,https://product.suning.com/0000000000/610800875.html,https://product.suning.com/0030000198/610800875.html,2018-02-21T17:35:27,奶粉质量挺好的，很值得信赖，活动优惠力度比较大 很好喝的一款奶粉宝宝喝了不上火会继续购买、物流非常快 服务态度很好
Suning,Suning,雀巢母婴自营旗舰店,https://shop.suning.com/30000198/index.html,自营 雀巢 (Nestle) 能恩3 幼儿配方奶粉 3段（12-36个月）900克,NAN,610800875,,,5,,,https://product.suning.com/0000000000/610800875.html,https://product.suning.com/0030000198/610800875.html,2018-02-22T02:33:08,东西收到好多天了用过了才评价发货速度快包装的很严密与卖家描述的一致很好哦
Suning,Suning,雀巢母婴自营旗舰店,https://shop.suning.com/30000198/index.html,自营 雀巢 (Nestle) 能恩3 幼儿配方奶粉 3段（12-36个月）900克,NAN,610800875,,,5,,,https://product.suning.com/0000000000/610800875.html,https://product.suning.com/0030000198/610800875.html,2018-02-21T22:43:27,商品质量非常好。卖家服务态度贼好。在此表示感谢。物流也贼快！
Suning,Suning,雀巢母婴自营旗舰店,https://shop.suning.com/30000198/index.html,自营 雀巢 (Nestle) 能恩3 幼儿配方奶粉 3段（12-36个月）900克,NAN,610800875,,,5,,,https://product.suning.com/0000000000/610800875.html,https://product.suning.com/0030000198/610800875.html,2018-02-21T22:35:15,发货很快。客服态度好。产品也很正哦。跟以前专卖店里买的一样。价格实惠。下次还会光顾的。
Suning,Suning,雀巢母婴自营旗舰店,https://shop.suning.com/30000198/index.html,自营 雀巢 (Nestle) 能恩3 幼儿配方奶粉 3段（12-36个月）900克,NAN,610800875,,,5,,,https://product.suning.com/0000000000/610800875.html,https://product.suning.com/0030000198/610800875.html,2018-02-21T22:35:05,商品非常喜欢质量很好超值卖家服务也很好赞一个~~~~~~~~~~~
Suning,Suning,雀巢母婴自营旗舰店,https://shop.suning.com/30000198/index.html,自营 雀巢 (Nestle) 能恩3 幼儿配方奶粉 3段（12-36个月）900克,NAN,610800875,,,5,,,https://product.suning.com/0000000000/610800875.html,https://product.suning.com/0030000198/610800875.html,2018-02-21T16:18:11,质量不错。与描述一致。服务态度也很好。度过速度也很快。包装很好很严实
Suning,Suning,雀巢母婴自营旗舰店,https://shop.suning.com/30000198/index.html,自营 雀巢 (Nestle) 能恩3 幼儿配方奶粉 3段（12-36个月）900克,NAN,610800875,,,5,,,https://product.suning.com/0000000000/610800875.html,https://product.suning.com/0030000198/610800875.html,2018-02-21T10:11:28,商品非常喜欢质量很好超值卖家服务也很好赞一个~~~~~~~~~~~
Suning,Suning,雀巢母婴自营旗舰店,https://shop.suning.com/30000198/index.html,自营 雀巢 (Nestle) 能恩3 幼儿配方奶粉 3段（12-36个月）900克,NAN,610800875,,,5,,,https://product.suning.com/0000000000/610800875.html,https://product.suning.com/0030000198/610800875.html,2018-02-21T10:11:23,质量不错。与描述一致。服务态度也很好。度过速度也很快。包装很好很严实
Suning,Suning,雀巢母婴自营旗舰店,https://shop.suning.com/30000198/index.html,自营 雀巢 (Nestle) 能恩3 幼儿配方奶粉 3段（12-36个月）900克,NAN,610800875,,,5,,,https://product.suning.com/0000000000/610800875.html,https://product.suning.com/0030000198/610800875.html,2018-02-21T10:01:50,大品牌值得信赖，是正品，包装完好，价格实惠，下次还会光顾的。
